Name,description,sub_catagory,Veg_Non,Review,Cusine,Diet,Price
Masoor Moong Phali Ki Dal Recipe (Masoor Dal With Peanuts Recipe),Masoor Dal (Whole)|Raw Peanuts (Moongphali)|Ginger|Green Chillies|Onion|Tomato|Bay leaf (tej patta)|Turmeric powder (Haldi)|Salt|Cumin seeds (Jeera)|Cinnamon Stick (Dalchini)|Coriander (Dhania) Leaves|Lemon juice,Indian Curry,veg,4.372239748,North Indian Recipes,High Protein Vegetarian,396
One Pot Creamy Spinach Lentils Recipe,Masoor Dal (Whole)|Spinach|Rocket leaves|Onion|Tomato|Fresh cream|Milk|Dry white wine|Basil leaves|Salt|Red Chilli flakes,Continental Food,veg,4.75147929,Continental,Vegetarian,433
Sweet Potato Dal Recipe,Masoor Dal (Whole)|Sweet Potatoes|Coconut Oil|Onion|Tomato|Cumin seeds (Jeera)|Green Chillies|Garlic|Turmeric powder (Haldi)|Red Chilli powder|Curry leaves|Salt|Water|Sunflower Oil|Cumin seeds (Jeera)|White Urad Dal (Split)|Mustard seeds|Coriander (Dhania) Leaves,Indian Curry,veg,4.974683544,North Indian Recipes,Vegetarian,578
Red Lentil Curry Without Coconut Recipe,Masoor Dal (Whole)|Tomatoes|Onion|Garlic|Ginger|Green Chillies|Kasuri Methi (Dried Fenugreek Leaves)|Sunflower Oil|Red Chilli powder|Salt|Turmeric powder (Haldi)|Coriander Powder (Dhania)|Cumin powder (Jeera),Indian Curry,veg,4.938596491,Indian,High Protein Vegetarian,321
Masoor Dal Gassi Recipe - Lentils in Tangy Coconut Curry,Masoor Dal (Whole)|Turmeric powder (Haldi)|Salt|Fresh coconut|Tamarind|Dry Red Chillies|Coriander (Dhania) Seeds|Mustard seeds (Rai/ Kadugu)|Garlic,Indian Curry,veg,4.895104895,Mangalorean,High Protein Vegetarian,426
Chicken Varuval,"Meat curry powder, chicken chunks, ginger, tomato, cinnamon",,non-veg,,,,313
Left Over Vadai Upma Recipe,Medu vada|Ginger|Green Chillies|Onion|Asafoetida (hing)|Mustard seeds|Chana dal (Bengal Gram Dal)|Dry Red Chilli|Curry leaves|Coriander (Dhania) Leaves|Salt|Sunflower Oil,,veg,4.886749717,South Indian Recipes,Vegetarian,310
Baingan Methi Ka Bharta Recipe with Pomegranates,Methi Leaves (Fenugreek Leaves)|Brinjal (Baingan / Eggplant)|Ginger|Onion|Tomato|Green Chillies|Turmeric powder (Haldi)|Coriander Powder (Dhania)|Red Chilli powder|Salt|Sunflower Oil|Anardana Powder (Pomegranate Seed Powder),Sabzi,veg,4.882640587,Punjabi,Vegetarian,204
Carrot Methi Pachadi Recipe,Methi Leaves (Fenugreek Leaves)|Carrot (Gajjar)|Green Chillies|Jaggery|Turmeric powder (Haldi)|Salt|Dry Red Chillies|Sunflower Oil|White Urad Dal (Split)|Mustard seeds|Cumin seeds (Jeera),Indian Chutney,veg,4.877629063,South Indian Recipes,Vegetarian,485
Gawar Phali Methi Ki Sabzi Recipe -Cluster Beans Methi Sabzi,Methi Leaves (Fenugreek Leaves)|Gawar Phali (Kothavarangai / Cluster beans)|Onion|Tomato|Garlic|Ginger|Red Chilli powder|Turmeric powder (Haldi)|Coriander Powder (Dhania)|Salt|Jaggery|Oil,Sabzi,,4.900251467,North Indian Recipes,Diabetic Friendly,499
Menthi Aaku Badeela Koora Recipe - Besan Muthia Cooked With Methi Leaves,Methi Leaves (Fenugreek Leaves)|Gram flour (besan)|Ginger|Garlic|Red Chilli powder|Turmeric powder (Haldi)|Salt|Water|Sunflower Oil|Cumin seeds (Jeera)|Mustard seeds|Curry leaves|Dry Red Chillies,Indian Curry,,4.902967121,Andhra,Diabetic Friendly,499
Turia Muthia Nu Shaak Recipe - Gujarati Style Turai Sabzi ,Methi Leaves (Fenugreek Leaves)|Gram flour (besan)|Turmeric powder (Haldi)|Green Chilli|Lemon juice|Sugar|Enos fruit salt|Sunflower Oil|Salt|Ridge Gourd (Turai/ Peerkangai)|Mustard seeds|Cumin seeds (Jeera)|Asafoetida (hing)|Tomatoes|Turmeric powder (Haldi)|Ginger|Green Chilli|Sunflower Oil|Jaggery|Salt,Sabzi,veg,4.85237484,Gujarati Recipes﻿,Vegetarian,587
Dry Methi Malai Matar Recipe,Methi Leaves (Fenugreek Leaves)|Green peas (Matar)|Fresh cream|Sunflower Oil|Bay leaf (tej patta)|Cinnamon Stick (Dalchini)|Cumin seeds (Jeera)|Onion|Garlic|Ginger|Green Chillies|Tomatoes|Tomato Ketchup|Red Chilli powder|Salt,Sabzi,veg,4.864274571,North Indian Recipes,Vegetarian,589
"Methi Makhana Mutter Korma Recipe - Methi, Green Pea & Lotus Seeds Curry",Methi Leaves (Fenugreek Leaves)|Green peas (Matar)|Lotus Seeds|Garlic|Ginger|Green Chillies|Cumin seeds (Jeera)|Onion|Cumin powder (Jeera)|Red Chilli powder|Turmeric powder (Haldi)|Coriander Powder (Dhania)|Bay leaf (tej patta)|Milk|Sunflower Oil|Salt,Indian Curry,,4.931623932,North Indian Recipes,Diabetic Friendly,209
Methi Malai Matar Recipe - Fenugreek Peas Curry With Cream,Methi Leaves (Fenugreek Leaves)|Green peas (Matar)|Onions|Green Chillies|Cashew nuts|Garlic|Ginger|Milk|Coriander Powder (Dhania)|Fresh cream|Cardamom Powder (Elaichi)|Sugar|Kasuri Methi (Dried Fenugreek Leaves)|Salt|Cardamom (Elaichi) Pods/Seeds|Cloves (Laung)|Cumin seeds (Jeera)|Whole Black Peppercorns|Cinnamon Stick (Dalchini)|Mace (Javitri)|Black cardamom (Badi Elaichi),Sabzi,veg,4.907590759,North Indian Recipes,Vegetarian,242
Healthy Methi Matar Malai (No Cream) Recipe,Methi Leaves (Fenugreek Leaves)|Green peas (Matar)|Salt|Cumin seeds (Jeera)|Tomato|Hung Curd (Greek Yogurt)|Sugar|Turmeric powder (Haldi)|Black pepper powder|Onion|Green Chillies|Ginger|Garlic|Whole Almonds (Badam)|Poppy seeds,Sabzi,veg,4.914997557,North Indian Recipes,Vegetarian,208
Methi Jowar Roti Recipe (Fenugreek & Millet flatbread),Methi Leaves (Fenugreek Leaves)|Jowar Flour (Sorghum)|Sesame seeds (Til seeds)|Salt|Garlic|Green Chilli Paste|Water,Indian Bread,,4.780092593,Rajasthani,Gluten Free,328
Methi Malai Paneer Recipe,Methi Leaves (Fenugreek Leaves)|Kasuri Methi (Dried Fenugreek Leaves)|Milk|Fresh cream|Cumin seeds (Jeera)|Bay leaf (tej patta)|Red Chilli powder|Turmeric powder (Haldi)|Coriander Powder (Dhania)|Salt|Onions|Garlic|Tomatoes|Green Chillies|Cashew nuts,Sabzi,veg,4.870836166,North Indian Recipes,High Protein Vegetarian,586
"Methi, Mooli Makkai Paratha Recipe",Methi Leaves (Fenugreek Leaves)|Mooli/ Mullangi (Radish)|Makki Ka Atta (Yellow Corn Meal Flour)|Green Chillies|Ajwain (Carom seeds)|Red Chilli powder|Coriander Powder (Dhania)|Salt|Water,Indian Bread,veg,4.902293968,North Indian Recipes,Vegetarian,488
Methi Pakoda Kadhi Recipe - Punjabi Kadhi Pakora,Methi Leaves (Fenugreek Leaves)|Onion|Gram flour (besan)|Red Chilli powder|Turmeric powder (Haldi)|Enos fruit salt|Ajwain (Carom seeds)|Asafoetida (hing)|Sunflower Oil|Gram flour (besan)|Turmeric powder (Haldi)|Red Chilli powder|Coriander Powder (Dhania)|Salt|Cumin seeds (Jeera)|Dry Red Chilli|Cinnamon Stick (Dalchini)|Coriander (Dhania) Leaves,Indian Curry,veg,4.908474576,North Indian Recipes,Vegetarian,407
Methi Jowar Ragi Thalipeeth Recipe - Healthy Diabetic Friendly Recipe,Methi Leaves (Fenugreek Leaves)|Onion|Green Chillies|Jowar Flour (Sorghum)|Ragi Flour (Finger Millet/ Nagli)|Gram flour (besan)|Red Chilli powder|Turmeric powder (Haldi)|Coriander Powder (Dhania)|Cumin powder (Jeera)|Oil|Salt,Indian Bread,,4.917263177,Maharashtrian Recipes,Diabetic Friendly,583
Karnataka Style Menthya Soppu Hesaru Kaalu Palya Recipe,Methi Leaves (Fenugreek Leaves)|Onion|Tomato|Turmeric powder (Haldi)|Jaggery|Coriander (Dhania) Leaves|Oil|Salt|Shallots|Garlic|Dry Red Chilli|Cumin seeds (Jeera),Indian Curry,veg,4.887741935,Karnataka,High Protein Vegetarian,360
Karnataka Style Alugadde and Mentye Pakoda Recipe (Potato and fenugreek leaves fritters),Methi Leaves (Fenugreek Leaves)|Potato (Aloo)|Gram flour (besan)|Cumin seeds (Jeera)|Red Chilli powder|Coriander Powder (Dhania),Indian Snack,veg,4.576388889,Karnataka,Vegetarian,492
Menthia Keerai Paruppu Usili Recipe - Steamed Lentil Crumbled With Fenugreek Leaves,Methi Leaves (Fenugreek Leaves)|Salt|Arhar dal (Split Toor Dal)|Dry Red Chillies|Turmeric powder (Haldi)|Sesame (Gingelly) Oil|Mustard seeds|Curry leaves,Poriyal Recipes,veg,4.956291391,South Indian Recipes,High Protein Vegetarian,558
Soya Methi Sabzi Recipe | Made from Soya Chunks,Methi Leaves (Fenugreek Leaves)|Soya Chunks|Mustard oil|Cumin (Jeera) seeds|Onions|Ginger|Garlic|Bay leaf (tej patta)|Cinnamon Stick (Dalchini)|Turmeric powder (Haldi)|Coriander (Dhania) Powder|Red Chilli powder|Amchur (Dry Mango Powder)|Jaggery|Salt to taste,Sabzi,veg,4.944539249,North Indian Recipes,Vegetarian,307
Methi Chaman Recipe -Paneer In Dark Leafy Greens Based Gravy,Methi Leaves (Fenugreek Leaves)|Spinach Leaves (Palak)|Green Chillies|Onion|Cumin seeds (Jeera)|Mustard oil|Turmeric powder (Haldi)|Coriander Powder (Dhania)|Fresh cream|Water|Salt,Sabzi,veg,4.905469679,North Indian Recipes,Vegetarian,240
Lehsun Methi Raita Recipe,Methi Leaves (Fenugreek Leaves)|Sunflower Oil|Garlic|Salt|Cumin powder (Jeera)|Chaat Masala Powder|Black Salt (Kala Namak)|Water|Chaat Masala Powder|Black Salt (Kala Namak)|Water|Sunflower Oil|Garlic|Kashmiri Red Chilli Powder,Indian Curry,veg,4.894220284,Indian,Vegetarian,472
Menthya Matvadi Palya Recipe - Madhwa Brahmin Style Methi-Chana Dal Sabzi,Methi Leaves (Fenugreek Leaves)|Sunflower Oil|Mustard seeds|Curry leaves|Dry Red Chillies|Salt|Chana dal (Bengal Gram Dal)|Fresh coconut|Dry Red Chillies|Coriander (Dhania) Seeds|Curry leaves|Cumin seeds (Jeera)|Turmeric powder (Haldi)|Asafoetida (hing),Indian Curry,,4.772951187,Karnataka,Diabetic Friendly,503
Corn Methi Malai Gravy Recipe,Methi Leaves (Fenugreek Leaves)|Sweet corn|Onion|Tomatoes|Cashew nuts|Fresh cream|Turmeric powder (Haldi)|Red Chilli powder|Amchur (Dry Mango Powder)|Sugar|Butter (Salted)|Cardamom (Elaichi) Pods/Seeds|Cumin seeds (Jeera)|Cinnamon Stick (Dalchini)|Cloves (Laung)|Whole Black Peppercorns|Whole Black Peppercorns,Sabzi,veg,4.809751434,Punjabi,Vegetarian,389
Methi Muthiya (Wheat Flour And Fenugreek Dumplings) Recipe,Methi Leaves (Fenugreek Leaves)|Whole Wheat Flour|Salt|Turmeric powder (Haldi)|Red Chilli powder|Asafoetida (hing)|Cumin powder (Jeera)|Ajwain (Carom seeds)|Sesame seeds (Til seeds)|Sunflower Oil|Lemon juice|Sugar|Sunflower Oil|Fennel seeds (Saunf)|Mustard seeds|Cumin seeds (Jeera)|Sunflower Oil,Indian Snack,veg,4.906670048,Indian,Vegetarian,276
Methi Moong Dal Recipe - Healthy Diabetic Friendly Recipe,Methi Leaves (Fenugreek Leaves)|Yellow Moong Dal (Split)|Garlic|Cumin seeds (Jeera)|Turmeric powder (Haldi)|Red Chilli powder|Salt|Lemon juice|Sugar,Sabzi,veg,4.707865169,North Indian Recipes,Vegetarian,347
Homemade Methi Ajwain Jeera Powder (Herbal Home Remedy for Digestion),Methi Seeds (Fenugreek Seeds)|Ajwain (Carom seeds)|Dry ginger powder|Cumin seeds (Jeera)|Asafoetida (hing)|Black Salt (Kala Namak),Indian Chutney,veg,4.765125223,Indian,Vegetarian,333
Chettinad Style Kara Kuzhambu Recipe with Potato and Brinjal,Methi Seeds (Fenugreek Seeds)|Coriander (Dhania) Seeds|Fennel seeds (Saunf)|Dry Red Chillies|Fresh coconut|Pearl onions (Sambar Onions)|Garlic|Tomatoes|Potatoes (Aloo)|Brinjal (Baingan / Eggplant)|Jaggery|Gingelly oil|Mustard seeds (Rai/ Kadugu)|Curry leaves,Indian Curry,veg,4.889090909,South Indian Recipes,Vegetarian,361
Methi Dana Sabzi Recipe - Healthy Fenugreek Seeds Stir Fry,Methi Seeds (Fenugreek Seeds)|Dates|Raisins|Asafoetida (hing)|Coriander (Dhania) Powder|Fennel Powder|Cumin powder (Jeera)|Amchur (Dry Mango Powder)|Red Chilli powder|Turmeric powder (Haldi)|Jaggery|Coriander (Dhania) Leaves|Mustard oil|Salt to taste,Sabzi,veg,4.914057885,Rajasthani,Vegetarian,347
Menthe / Fenugreek Seeds Tambli Recipe (Karnataka Recipes),Methi Seeds (Fenugreek Seeds)|Dry Red Chillies|Fresh coconut|Salt|Mustard seeds (Rai/ Kadugu)|Curry leaves,Indian Curry,,4.925035361,Karnataka,Diabetic Friendly,541
Sprouted Methi & Kachha Aam Salad Recipe,Methi Seeds (Fenugreek Seeds)|Mango (Raw)|Cranberries|Walnuts|Lemon juice|Honey|Paprika powder|Salt,Salad,veg,4.98467433,Indian,High Protein Vegetarian,221
Senai Kizhangu Gotsu Recipe - Spicy & Tangy Yam Curry Recipe,Methi Seeds (Fenugreek Seeds)|Mustard seeds|Curry leaves|Pearl onions (Sambar Onions)|Tomatoes|Elephant yam (Suran/Senai/Ratalu)|Jaggery|Sesame (Gingelly) Oil|Salt|Sunflower Oil,Indian Curry,veg,4.925503944,Tamil Nadu,Vegetarian,444
Rajasthani Dana Methi & Papad Ka Saag Recipe,Methi Seeds (Fenugreek Seeds)|Papads|Salt|Red Chilli powder|Turmeric powder (Haldi)|Cumin powder (Jeera)|Coriander Powder (Dhania)|Sunflower Oil|Kasuri Methi (Dried Fenugreek Leaves)|Raisins|Mustard seeds|Cumin seeds (Jeera)|Asafoetida (hing),Sabzi,veg,4.777580071,Rajasthani,Vegetarian,411
Vankaya Gasagasala Kura | Andhra Style Eggplant Poppy Seeds Curry Recipe,Methi Seeds (Fenugreek Seeds)|Poppy seeds|Brinjal (Baingan / Eggplant)|Oil|Mustard seeds (Rai/ Kadugu)|Cumin seeds (Jeera)|Garlic|Red Chilli powder|Coriander Powder (Dhania)|Turmeric powder (Haldi)|Methi Seeds (Fenugreek Seeds)|Tamarind|Jaggery|Salt,Indian Curry,veg,4.896532121,Andhra,Vegetarian,352
Methi Sprouts Salad Recipe - Healthy & Tasty Diabetic Snack,Methi Seeds (Fenugreek Seeds)|Roasted Peanuts (Moongphali)|Onion|Tomato|Coriander (Dhania) Leaves|Salt|Black pepper powder|Lemon juice|Chaat Masala Powder,Indian Breakfast,,4.938504542,Indian,Diabetic Friendly,398
How To Make Homemade Yogurt - Curd,Milk,,veg,4.897676002,Indian,Vegetarian,372
spinach and feta crepes,"milk (whole fat or skimmed), flour, water, butter, honey, salt, vegetable oil, extra butter (for crisping the crepe), spinach, feta cheese (crumbled), greek yogurt (whisked), honey",,veg,,,,203
Bengali Special Chocolate Sandesh Recipe (Chocolate Infused Cottage Cheese Dessert),Milk chocolate|Chenna (Homemade Cottage Cheese)|Sugar|Dates|Pistachios,Sweet Recipes (Indian Mithai / Indian ,veg,4.84184514,Bengali Recipes,Vegetarian,366
Homemade Kit Kat Bars Recipe,Milk chocolate|White Chocolate|Chocolate wafers|Strawberry wafers,Dessert,veg,4.82725242,Continental,Vegetarian,429
Mawa Bati,"Milk powder, dry fruits, arrowroot powder, all purpose flour",,veg,,,,289
Gulab jamun,"Milk powder, plain flour, baking powder, ghee, milk, sugar, water, rose water",,veg,,,,413
Homemade Easy Gulab Jamun Recipe - Delicious & Tasty,Milk Powder|All Purpose Flour (Maida)|Cardamom Powder (Elaichi)|Baking soda|Fresh cream|Oil|Sugar|Water|Rose water|Saffron strands,Sweet Recipes (Indian Mithai / Indian ,veg,4.768134715,North Indian Recipes,Vegetarian,443
Sandesh Panna Cotta Recipe,Milk Powder|Caster Sugar|Milk|Heavy whipping cream|Saffron strands|Gelatin|Pistachios,Sweet Recipes (Indian Mithai / Indian ,veg,4.853107345,Fusion,Vegetarian,511
Chocolaty Fulzadi Recipe (Diwali Chocolate Sparklers),Milk Powder|Cocoa Powder|Chocolate Bar|Sugar|Cashew nuts,Sweet Recipes (Indian Mithai / Indian ,veg,4.821386604,Indian,Vegetarian,206
Chocolate Peda Recipe,Milk Powder|Cocoa Powder|Condensed Milk|Milk|Cardamom Powder (Elaichi)|Pistachios,Sweet Recipes (Indian Mithai / Indian ,veg,4.814268143,Indian,Vegetarian,494
Chinese style Black Sesame Nai Huang Bao Recipe (Steamed Custard Buns),Milk Powder|Coconut milk|Condensed Milk|Whole Eggs|Sunflower Oil|All Purpose Flour (Maida)|Black sesame seeds|Lukewarm Water|Sugar|Sunflower Oil,Indian Chinese,veg,4.816666667,Chinese,Vegetarian,595
Aam Peda Recipe - Delicious Mango Peda Recipe,Milk Powder|Condensed Milk|Cardamom Powder (Elaichi)|Corn flour|Slivered Almonds (Badam),Sweet Recipes (Indian Mithai / Indian ,veg,4.836623553,Indian,Vegetarian,290
Homemade Doodh Peda Recipe - Milk Peda,Milk Powder|Condensed Milk|Cardamom Powder (Elaichi)|Pistachios,Sweet Recipes (Indian Mithai / Indian ,veg,4.774807198,Indian,Vegetarian,471
Milk Peda Recipe,Milk Powder|Condensed Milk|Cardamom Powder (Elaichi)|Saffron strands|Milk,Dessert,veg,4.8288908,Indian,Vegetarian,376
hot chocolate,"milk, chocolate, cocoa powder, powdered sugar, cinnamon, vanilla",,veg,,,,286
Kalakand,"Milk, cottage cheese, sugar",,veg,,,,245
Misti doi,"Milk, jaggery",,veg,,,,465
rice kheer,"milk, rice (washed), sugar, raisins, green cardamoms, almonds (shredded)",,veg,,,,279
Kheer,"Milk, rice, sugar, dried fruits",,veg,,,,322
Doodhpak,"Milk, rice, sugar, dry fruits",,veg,,,,490
mix fruit laccha rabri tortilla crunch,"milk, sugar, cardamom powder, saffron, almonds and pistachios, grapes, apple, kiwi, orange, pomegranate, mint leaves, tortilla sheet, oil",,veg,,,,326
Dharwad pedha,"Milk, Sugar, Dharwadi buffalo milk",,veg,,,,445
Sandesh,"Milk, sugar, saffron, cardamom",,veg,,,,347
"Healthy Waffles with Greek Yogurt, Figs and Sweet Dukkah Recipe",Milk|Apple cider vinegar|Honey|Rolled Oats|Buckwheat Flour (Kuttu Ka Atta)|Baking powder|Salt|Fresh Figs|Hung Curd (Greek Yogurt)|Mint Leaves (Pudina)|Sesame seeds (Til seeds)|Poppy seeds|Badam (Almond)|Pistachios|Honey,Continental Breakfast,veg,4.965346535,Continental,Vegetarian,368
Kesar Pista Phirni Recipe,Milk|Basmati rice|Sugar|Saffron strands|Cardamom Powder (Elaichi)|Badam (Almond)|Pistachios,Sweet Recipes (Indian Mithai / Indian ,veg,4.916035354,Mughlai,Vegetarian,416
Gil-E-Firdaus Recipe (Creamy & Sweet Bottlegourd Pudding),Milk|Bottle gourd (lauki)|Sabudana (Tapioca Pearls)|Basmati rice|Cardamom Powder (Elaichi)|Saffron strands|Vanilla Extract|Condensed Milk|Slivered Almonds (Badam)|Edible Silver Foil/Leaf (Chandi Ka Vark),Dessert,veg,4.909535452,Hyderabadi,Vegetarian,424
Doodhi Sabudana Kheer Recipe,Milk|Bottle gourd (lauki)|Sabudana (Tapioca Pearls)|Sugar|Pistachios|Khoya (Mawa)|Rice|Cardamom (Elaichi) Pods/Seeds|Slivered Almonds (Badam),Sweet Recipes (Indian Mithai / Indian ,veg,4.903846154,Indian,Vegetarian,358
Lauki Kheer Recipe - Bottle Gourd Pudding,Milk|Bottle gourd (lauki)|Sugar|Saffron strands|Cardamom Powder (Elaichi)|Pistachios|Badam (Almond)|Chironji,Sweet Recipes (Indian Mithai / Indian ,veg,4.894459103,Indian,Vegetarian,244
Tomato Corn Au Gratin Recipe,Milk|Butter (unsalted)|All Purpose Flour (Maida)|Fresh oregano|Salt and Pepper|Whole Wheat Bread crumbs|Parmesan cheese|Fresh oregano|Italian seasoning|Cherry tomatoes|Salt and Pepper,Continental Food,veg,4.879012346,French,Vegetarian,413
Kesar Malai Doodh Recipe,Milk|Cardamom Powder (Elaichi)|Saffron strands|Cashew nuts|Sugar|Saffron strands|Dried rose petals|Dry Fruits,Smoothies,veg,4.917808219,North Indian Recipes,Vegetarian,505
Japanese Cotton Cheesecake Recipe,Milk|Cardamom Powder (Elaichi)|Saffron strands|Sugar|Rabdi|Whole Eggs|Britannia Cream Cheese|All Purpose Flour (Maida)|Corn flour|Sugar,Cake,veg,4.880866426,Asian,Vegetarian,337
Paan Matka Kulfi Recipe ,Milk|Cardamom Powder (Elaichi)|Saffron strands|Sugar|Sweet paan mix|Dried rose petals|Pistachios,Sweet Recipes (Indian Mithai / Indian ,veg,4.900807382,North Indian Recipes,Vegetarian,414
Carrot Custard Pudding Recipe,Milk|Carrot (Gajjar)|Custard powder|Sugar,Dessert,veg,4.951342282,Indian,Vegetarian,519
Chocolate Espresso Custard Pudding Recipe,Milk|Caster Sugar|Corn flour|Cocoa Powder|Espresso Powder|Chocolate Bar|Heavy whipping cream|Fresh Cherries|Chocolate Shavings,Dessert,veg,4.887295082,Continental,Vegetarian,397
Mexican Hot Chocolate Recipe ,Milk|Cinnamon Stick (Dalchini)|Dark chocolate|Palm sugar|Corn flour,"Chocolate, Coffee & Tea Drink",veg,4.90376569,Mexican,Vegetarian,586
Paruppu Payasam Recipe - Stewed Dal Coconut Milk Payasam,Milk|Coconut milk|Yellow Moong Dal (Split)|Chana dal (Bengal Gram Dal)|Fresh coconut|Jaggery|Cashew nuts|Cardamom Powder (Elaichi),Sweet Recipes (Indian Mithai / Indian ,veg,4.853161844,Kerala Recipes,Vegetarian,222
Angoori Rasmalai Recipe ,Milk|Condensed Milk|Lemon juice|Sugar|Cardamom (Elaichi) Pods/Seeds|Mixed nuts,Sweet Recipes (Indian Mithai / Indian ,veg,4.862068966,Bengali Recipes,Vegetarian,421
Umm Ali Recipe - Egyptian Dessert Recipe With Puff Pastry,Milk|Condensed Milk|Sugar|Saffron strands|Slivered Almonds (Badam)|Sultana Raisins|Pistachios|Dessicated Coconut|Heavy whipping cream,Dessert,veg,4.857575758,Middle Eastern,Vegetarian,201
Kashmiri Style Paneer in Spiced Milk Curry Recipe-Roz Ka Khana In Figaro Olive Oil,Milk|Cumin seeds (Jeera)|Turmeric powder (Haldi)|Bay leaves (tej patta)|Dry ginger powder|Salt|Saffron strands|Cloves (Laung)|Cardamom (Elaichi) Pods/Seeds|Fennel seeds (Saunf)|Methi Seeds (Fenugreek Seeds),Sabzi,veg,4.865232163,Kashmiri,Vegetarian,252
Sitaphal Rabdi Recipe,Milk|Custard apple (Sitaphal)|Badam (Almond)|Pistachios|Cardamom Powder (Elaichi),Sweet Recipes (Indian Mithai / Indian ,veg,4.897860247,Indian,Vegetarian,550
Atar Payesh Recipe (Sitaphal Kheer),Milk|Custard apple (Sitaphal)|Heavy whipping cream|Cardamom Powder (Elaichi)|Sugar,Sweet Recipes (Indian Mithai / Indian ,veg,4.895104895,Bengali Recipes,Vegetarian,250
Creamy and Delicious Fruit Custard Recipe ,Milk|Custard powder|Sugar|Apple|Ripe Bananas|Green Grapes|Orange|Fresh Pomegranate Fruit Kernels,Sweet Recipes (Indian Mithai / Indian ,veg,4.890140845,Indian,Vegetarian,240
Spicy Hot Chocolate Recipe - Perfect Drink For A Rainy Day or Winters,Milk|Dark chocolate|Cinnamon Powder (Dalchini)|Black pepper powder|Cayenne Pepper|Vanilla Extract|Fresh Cherries|Slivered Almonds (Badam),"Chocolate, Coffee & Tea Drink",veg,4.94199536,Continental,Vegetarian,333
Nolen Gur Panna Cotta Recipe (Fresh Dates Jaggery Panna Cotta),Milk|Double Cream|Gelatin|Vanilla Extract|Nolen Gur|Nolen Gur|Silver Balls|Fresh fruits,Dessert,veg,4.839907193,Fusion,Vegetarian,219
Heart Healthy White Bean And Noodle Soup Recipe,Milk|Extra Virgin Olive Oil|Garlic|Onion|Carrot (Gajjar)|Celery|Fresh Thyme leaves|Great Northern Beans|Egg noodles|Green peas (Matar)|Sage|Salt and Pepper,Soup,veg,4.834710744,Continental,Vegetarian,527
Bellada Coffee Recipe With Milk (Karnataka Style Filter Coffee With Jaggery),Milk|Filter Coffee Powder|Water|Jaggery,"Chocolate, Coffee & Tea Drink",veg,4.891936369,Karnataka,Vegetarian,436
Foxtail Millet Kheer Recipe (Millet Pudding With Saffron & Nuts),Milk|Foxtail Millet|Saffron strands|Fresh coconut|Sugar|Mixed dry fruits,Sweet Recipes (Indian Mithai / Indian ,veg,4.88277087,Tamil Nadu,Vegetarian,347
Gulkand Panna Cotta Recipe with Strawberry Sauce,Milk|Fresh cream|Caster Sugar|Gulkand|Gelatin,Dessert,veg,4.821100917,Fusion,Vegetarian,450
Yogurt Panna Cotta with Saffron and Honey Syrup Recipe,Milk|Fresh cream|Gelatin|Water|Vanilla Extract|Sugar|Honey|Water|Sugar|Saffron strands|Mixed nuts|Rose Petals,Dessert,veg,4.588785047,Continental,Vegetarian,348
Milk Sooji Fudge Recipe,Milk|Fresh cream|Sooji (Semolina/ Rava)|Sugar|Slivered Almonds (Badam)|Cardamom Powder (Elaichi),Sweet Recipes (Indian Mithai / Indian ,veg,4.901149425,Karnataka,Vegetarian,580
Coffee Recipe With Instant Coffee Powder,Milk|Fresh cream|Sugar|Instant Coffee Powder,"Chocolate, Coffee & Tea Drink",veg,4.918498168,Indian,Vegetarian,547
Kuvar Pak Recipe ,Milk|Fresh cream|Sugar|Pistachios,Sweet Recipes (Indian Mithai / Indian ,veg,4.823374341,Gujarati Recipes﻿,Vegetarian,514
Homemade Eggless Vanilla Custard Recipe ,Milk|Fresh cream|Vanilla Extract|Caster Sugar|Corn flour,Dessert,veg,4.876379253,Continental,Vegetarian,247
Hyderabadi Double Ka Meetha Recipe (Traditional Indian Bread Pudding),Milk|Fresh cream|Water|Sugar|Rose water|Whole Almonds (Badam)|Sultana Raisins,Sweet Recipes (Indian Mithai / Indian ,veg,4.875618874,Hyderabadi,Vegetarian,550
Coconut French Toast with Chocolate Chips Recipe,Milk|Fresh cream|Whole Eggs|Vanilla Extract|Nutmeg powder|Salt|Caster Sugar|Fresh coconut|Maple syrup,Continental Breakfast,non-veg,4.872763419,Continental,Eggetarian,544
Homemade Alfredo Pasta Sauce Recipe-Creamy White Sauce For Pasta,Milk|Garlic|Britannia Cream Cheese|Parmesan cheese|Salt and Pepper|Fresh Herbs,,veg,4.929841897,Italian Recipes,Vegetarian,420
Strawberry Yogurt Lassi Recipe,Milk|Honey|Cardamom Powder (Elaichi)|Strawberries|Mint Leaves (Pudina)|Ice cubes,Smoothies,veg,4.876436782,Indian,Vegetarian,449
Royal Bread Gulab Jamun Recipe,Milk|Khoya (Mawa)|Sugar|Badam (Almond),Sweet Recipes (Indian Mithai / Indian ,veg,4.858465608,Indian,Vegetarian,501
Kiwi Sondesh Recipe,Milk|Kiwi|Caster Sugar|Lemon juice|Cardamom Powder (Elaichi)|Mixed nuts,Sweet Recipes (Indian Mithai / Indian ,veg,4.865139949,Bengali Recipes,Vegetarian,525
Chenna Recipe (Homemade Cottage Cheese | A High Protein Snack),Milk|Lemon,Indian Snack,veg,4.918209877,Indian,Vegetarian,383
